node_use, park_name, items_name, easting, node_id, description, item_id, ogc_fid, pr_no, longitude, latitude, northing, nodes_name, item_type
"RECREATION ACCESS","WHITES HILL RESERVE",null,"508,344.00","23,246","Brush Box Track","128,387",5106,"D0056",153.0844815,-27.50606988,"6,957,508.00","WHITES HILL & SANKEY'S CIRCUITS","WALKING TRACK"
"BUSHLAND NODE","WHITES HILL RESERVE",null,"508,272.00","24,283","She-oak Track (walking only section)","53,586",5107,"D0056",153.0837602,-27.51625382,"6,956,380.00","SALVIN CK CATCHMENT","WALKING TRACK"
"BUSHLAND NODE","WHITES HILL RESERVE",null,"508,253.00","24,283","Sheoak track to ridge above quarry","78,326",5108,"D0056",153.0835652,-27.51282333,"6,956,760.00","SALVIN CK CATCHMENT","WALKING TRACK"
"BUSHLAND NODE","WHITES HILL RESERVE",null,"507,809.00","24,283","Reservoir perimeter road","114,148",5109,"D0056",153.079071,-27.51484821,"6,956,536.00","SALVIN CK CATCHMENT","WALKING TRACK"
"RECREATION ACCESS","WHITES HILL RESERVE",null,"507,730.00","23,246","Whites Hill Circuit (path section)","53,567",5110,"D0056",153.0782621,-27.50218248,"6,957,939.00","WHITES HILL & SANKEY'S CIRCUITS","WALKING TRACK"
"RECREATION ACCESS","WHITES HILL RESERVE",null,"508,182.00","23,246","Spotted Gum Track","78,426",5111,"D0056",153.0828418,-27.5068563,"6,957,421.00","WHITES HILL & SANKEY'S CIRCUITS","WALKING TRACK"
"RECREATION ACCESS","WHITES HILL RESERVE",null,"508,161.00","23,246","Track to Sankey's Lookout","126,491",5112,"D0056",153.0826299,-27.50776825,"6,957,320.00","WHITES HILL & SANKEY'S CIRCUITS","WALKING TRACK"
"RECREATION ACCESS","WHITES HILL RESERVE",null,"507,685.00","23,246","Tallowood Track (first section from playground)","128,508",5113,"D0056",153.0778102,-27.50742796,"6,957,358.00","WHITES HILL & SANKEY'S CIRCUITS","WALKING TRACK"
"BALANCE OF PARK","GLINDEMANN DRIVE PARK",null,"506,753.78","15,925",null,"181,299",5127,"D0057",153.0683898,-27.52071291,"6,955,887.01","BALANCE OF PARK","BIKEWAY"
"RECREATION NODE","SEVILLE PARK",null,"507,114.61","15,904",null,"13,664",5210,"D0061",153.0720448,-27.5223919,"6,955,700.83","SEVILLE PK ACTIVITY SPACE & JR CRICKET FIELD","BASKETBALL/NETBALL FACILITY"
"RECREATION ACCESS","SEVILLE PARK",null,"507,039.64","30,421",null,"13,672",5218,"D0061",153.0712847,-27.52101985,"6,955,852.85","SEVILLE PK SHARED PATHWAY","BIKEWAY"
"PLAYGROUND NODE","SEVILLE PARK",null,"507,018.52","15,899","Moulded foot holes","183,284",5224,"D0061",153.071071,-27.52140124,"6,955,810.62","ELGAR ST PLAYGROUND","CLIMBING WALL"
"RECREATION NODE","SEVILLE PARK",null,"507,047.28","15,904","Cricket pitch rubber concrete","54,189",5225,"D0061",153.0713624,-27.52150823,"6,955,798.75","SEVILLE PK ACTIVITY SPACE & JR CRICKET FIELD","CRICKET PITCH"
"RECREATION NODE","SEVILLE PARK",null,"507,115.52","15,904","Basketball hoop","165,090",5253,"D0061",153.072054,-27.52241896,"6,955,697.83","SEVILLE PK ACTIVITY SPACE & JR CRICKET FIELD","RECREATION FACILITY COMPONENT"
"PLAYGROUND NODE","SEVILLE PARK",null,"507,022.56","15,899","Monkey bars","183,277",5275,"D0061",153.071112,-27.52138361,"6,955,812.57","ELGAR ST PLAYGROUND","UPPER BODY EQUIPMENT"
"SERVICE NODE","JOE BRADFIELD CENTRE PARK",null,"508,903.83","13,853","Bikerack","38,541",5304,"D0062",153.0901394,-27.49348174,"6,958,901.96","CARINA LIBRARY","BIKE RACK"
"SERVICE NODE","JOE BRADFIELD CENTRE PARK",null,"508,891.62","13,853","possible leaning posts for bikes","102,823",5305,"D0062",153.0900158,-27.49345004,"6,958,905.48","CARINA LIBRARY","BIKE RACK"
"RECREATION ACCESS","JOE BRADFIELD CENTRE PARK",null,"508,994.79","25,325","pedestrian","13,720",5306,"D0062",153.0910593,-27.49231951,"6,959,030.63","JOE BRADFIELD PK BIKEWAY","BIKEWAY"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,925.36","13,857","Cricket Practice Nets","54,072",5373,"D0062",153.0903563,-27.4921507,"6,959,049.38","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","PRACTICE CRICKET NET"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,962.58","13,857","basketball hoop","103,003",5377,"D0062",153.0907333,-27.49245894,"6,959,015.21","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","RECREATION FACILITY COMPONENT"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,950.27","13,857","netball hoop","103,006",5378,"D0062",153.0906085,-27.49217157,"6,959,047.05","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","RECREATION FACILITY COMPONENT"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,967.12","13,857","basketball hoop","103,004",5379,"D0062",153.0907791,-27.49221569,"6,959,042.15","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","RECREATION FACILITY COMPONENT"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,945.00","13,857","netball hoop","103,005",5380,"D0062",153.0905553,-27.49244398,"6,959,016.88","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","RECREATION FACILITY COMPONENT"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,946.92","13,857","Netball","13,727",5393,"D0062",153.0905747,-27.49230737,"6,959,032.01","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","SPORTING COURT"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,940.12","13,857","Tennis","13,728",5394,"D0062",153.0905061,-27.49269219,"6,958,989.39","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","SPORTING COURT"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,924.37","13,857","tennis court","102,766",5395,"D0062",153.0903467,-27.49267153,"6,958,991.69","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","SPORTING COURT"
"SPORTING NODE","JOE BRADFIELD CENTRE PARK",null,"508,965.68","13,857","Basketball","37,124",5396,"D0062",153.0907646,-27.49232973,"6,959,029.52","MAYFIELD RD TENNIS, NETBALL & CRICKET FACILITY","SPORTING COURT"
"RECREATION NODE","PATTISON PARK",null,"506,581.00","17,270","Half Basketball","13,739",5402,"D0063",153.066616,-27.48051241,"6,960,340.00","PATTISON PK ACTIVITY SPACE","BASKETBALL/NETBALL FACILITY"
"RECREATION NODE","GLINDEMANN PARK",null,"506,946.70","15,897","basketball half court","13,777",5428,"D0064",153.0703475,-27.52713403,"6,955,175.65","GLINDEMANN PK SKATE FACILITY FITNESS STN  & HALF COURT","BASKETBALL/NETBALL FACILITY"
"PLAYGROUND NODE","GLINDEMANN PARK",null,"506,989.94","15,889","2 deck structure with skate board style balancing boards to stand on and slide up and back a U shape","52,764",5446,"D0064",153.0707856,-27.52747984,"6,955,137.32","GLINDEMANN PK DISTRICT PLAYGROUND (LOGAN RD SECTION)","CLIMBING WALL"
"RECREATION NODE","GLINDEMANN PARK",null,"506,930.72","15,897","Fitness station includes situp bench, chest press, standard bike, lateral pull down and chin up","180,501",5470,"D0064",153.0701855,-27.52694823,"6,955,196.24","GLINDEMANN PK SKATE FACILITY FITNESS STN  & HALF COURT","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","GLINDEMANN PARK",null,"506,989.00","15,897","skate bowl","13,786",5569,"D0064",153.0707762,-27.52764524,"6,955,119.00","GLINDEMANN PK SKATE FACILITY FITNESS STN  & HALF COURT","SKATE FACILITY"
"RECREATION NODE","GLINDEMANN PARK",null,"506,946.04","15,897","basketball hoop","165,943",5579,"D0064",153.0703408,-27.52717917,"6,955,170.65","GLINDEMANN PK SKATE FACILITY FITNESS STN  & HALF COURT","SPORT FACILITY COMPONENT"
"VEHICLE ACCESS","TINGALPA CREEK RESERVE",null,"518,198.85","24,563","Tingalpa Ck Canoe Ramp ","38,553",5615,"D0065",153.1842522,-27.50148747,"6,958,004.91","CHADWELL ST CAR PARK & CANOE FACILITY","BOAT RAMP"
"RECREATION ACCESS","TINGALPA CREEK RESERVE",null,"517,572.00","12,991","Horse Rails","13,814",5629,"D0065",153.1779077,-27.50270465,"6,957,871.00","TINGALPA CK RES EQUESTRIAN TRAIL","EQUESTRIAN FACILITY"
"RECREATION NODE","TINGALPA CREEK RESERVE",null,"518,172.00","24,564","Tingalpa Creek walk","53,565",5688,"D0065",153.1839824,-27.50269675,"6,957,871.00","CHADWELL ST CREEK ACCESS & FISHING FACILITY","WALKING TRACK"
"SPORTING NODE","BELMONT RECREATION RESERVE",null,"509,903.57","13,847","Carina PCYC","61,906",5741,"D0067",153.1002635,-27.4969206,"6,958,520.28","CARINA PCYC","INDOOR SPORTS CENTRE"
"SPORTING NODE","BELMONT RECREATION RESERVE",null,"509,889.74","13,839","Lawn Bowls","13,889",5743,"D0067",153.1001226,-27.49590208,"6,958,633.11","BELMONT SERVICES BOWLS CLUB","LAWN BOWLS/CROQUET GREEN"
"SPORTING NODE","BELMONT RECREATION RESERVE",null,"509,845.62","13,839","Lawn bowls","97,708",5744,"D0067",153.0996759,-27.49583722,"6,958,640.33","BELMONT SERVICES BOWLS CLUB","LAWN BOWLS/CROQUET GREEN"
"SPORTING NODE","BELMONT RECREATION RESERVE",null,"509,871.41","13,839","Bowls Club","61,905",5836,"D0067",153.0999372,-27.4961382,"6,958,606.97","BELMONT SERVICES BOWLS CLUB","SPORTING CLUBHOUSE"
"BALANCE OF PARK","BELMONT RECREATION RESERVE",null,"509,762.17","13,842",null,"53,580",5842,"D0067",153.0988317,-27.49663472,"6,958,552.06","BALANCE OF PARK","WALKING TRACK"
"BALANCE OF PARK","BELMONT RECREATION RESERVE",null,"509,811.99","13,842",null,"97,688",5843,"D0067",153.0993365,-27.49702969,"6,958,508.27","BALANCE OF PARK","WALKING TRACK"
"RECREATION NODE","BEDFORD PLAYGROUND PARK",null,"502,764.06","12,614","Half Basketball","19,169",6150,"D0074",153.0279733,-27.45728731,"6,962,914.02","BEDFORD PLAYG'ND PK HALF COURT","BASKETBALL/NETBALL FACILITY"
"SERVICE NODE","BEDFORD PLAYGROUND PARK",null,"502,821.65","12,613","bike rack","146,190",6156,"D0074",153.028556,-27.45681413,"6,962,966.42","COMMUNIFY QLD SPRING HILL HALL","BIKE RACK"
"SPORTING NODE","BEDFORD PLAYGROUND PARK",null,"502,846.71","12,606","Cricket Pitch","54,300",6161,"D0074",153.0288098,-27.45740415,"6,962,901.06","BEDFORD PLAYG'ND PK JR CRICKET FIELD","CRICKET PITCH"
"RECREATION NODE","BEDFORD PLAYGROUND PARK",null,"502,775.11","13,026","Cardio Stepper","161,700",6186,"D0074",153.028085,-27.45689538,"6,962,957.43","BEDFORD PLAYGROUND FITNESS STATION","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","BEDFORD PLAYGROUND PARK",null,"502,772.01","13,026","Ab crunch/leg lift","161,702",6187,"D0074",153.0280536,-27.45691236,"6,962,955.55","BEDFORD PLAYGROUND FITNESS STATION","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","BEDFORD PLAYGROUND PARK",null,"502,773.61","13,026","Pull up/dip","161,701",6188,"D0074",153.0280698,-27.45690469,"6,962,956.40","BEDFORD PLAYGROUND FITNESS STATION","FITNESS EXERCISE EQUIPMENT"
"SPORTING NODE","BEDFORD PLAYGROUND PARK",null,"502,833.08","12,606","Goal Posts (Soccer)","54,236",6235,"D0074",153.0286719,-27.45762996,"6,962,876.05","BEDFORD PLAYG'ND PK JR CRICKET FIELD","SPORT FACILITY COMPONENT"
"SPORTING NODE","BEDFORD PLAYGROUND PARK",null,"502,867.83","12,606","soccer goal","145,976",6236,"D0074",153.0290235,-27.45728105,"6,962,914.69","BEDFORD PLAYG'ND PK JR CRICKET FIELD","SPORT FACILITY COMPONENT"
"SPORTING NODE","BEDFORD PLAYGROUND PARK",null,"502,772.47","23,310","Tennis","19,185",6237,"D0074",153.0280585,-27.45762124,"6,962,877.03","BEDFORD PLAYG\"\"ND PK TENNIS COURTS","SPORTING COURT"
"SPORTING NODE","BEDFORD PLAYGROUND PARK",null,"502,848.92","12,606","Junior cricket & soccer","33,663",6238,"D0074",153.0288321,-27.45745425,"6,962,895.51","BEDFORD PLAYG'ND PK JR CRICKET FIELD","SPORTING FIELD"
"BALANCE OF PARK","CAPTAIN BURKE PARK",null,"503,368.60","14,605","bike rack","118,538",6288,"D0075",153.0340941,-27.46586399,"6,961,963.86","BALANCE OF PARK","BIKE RACK"
"BALANCE OF PARK","CAPTAIN BURKE PARK",null,"503,367.00","14,605","Concrete","19,202",6289,"D0075",153.0340778,-27.46572731,"6,961,979.00","BALANCE OF PARK","BIKEWAY"
"BALANCE OF PARK","FOUNTAIN RESERVE",null,"502,967.96","12,597","Bike rack","83,373",6508,"D0077",153.0300392,-27.46608828,"6,961,939.12","BALANCE OF PARK","BIKE RACK"
"PLAYGROUND NODE","TENERIFFE PARK",null,"504,582.00","12,590","monkey bars","111,851",6597,"D0078",153.046372,-27.45856113,"6,962,772.38","TENERIFFE PK PLAYGROUND","UPPER BODY EQUIPMENT"
"HABITAT BRISBANE GROUP","TENERIFFE PARK",null,"504,625.10","24,708",null,"111,919",6598,"D0078",153.0468078,-27.4576887,"6,962,869.00","TENERIFFE PK BUSHLAND GP RESTORATION SITE","WALKING TRACK"
"HABITAT BRISBANE GROUP","TENERIFFE PARK",null,"504,728.13","24,708","Bushland Tracks","53,664",6599,"D0078",153.0478503,-27.45719641,"6,962,923.49","TENERIFFE PK BUSHLAND GP RESTORATION SITE","WALKING TRACK"
"RECREATION ACCESS","MERTHYR PARK",null,"504,214.00","12,580","City cycle station","123,579",6645,"D0080",153.0426539,-27.47461752,"6,960,994.00","MERTHYR PK SHARED PATHWAY","BIKE RACK"
"RECREATION ACCESS","MERTHYR PARK",null,"504,189.41","12,580","Bike rainbow shaped rack","123,631",6646,"D0080",153.0424048,-27.47430107,"6,961,029.06","MERTHYR PK SHARED PATHWAY","BIKE RACK"
"RECREATION ACCESS","MERTHYR PARK",null,"504,423.84","12,580","rainbow shape","123,609",6647,"D0080",153.0447782,-27.47539768,"6,960,907.51","MERTHYR PK SHARED PATHWAY","BIKE RACK"
"BALANCE OF PARK","MERTHYR PARK",null,"504,897.12","12,579","shared bikeway","129,452",6648,"D0080",153.0495679,-27.47351129,"6,961,116.28","BALANCE OF PARK","BIKEWAY"
"RECREATION ACCESS","MERTHYR PARK",null,"504,516.00","12,580","Merthyr Pk shared pathway","1,157",6649,"D0080",153.045711,-27.4753749,"6,960,910.00","MERTHYR PK SHARED PATHWAY","BIKEWAY"
"RECREATION NODE","MERTHYR PARK",null,"504,475.00","30,389","Step ups","53,378",6665,"D0080",153.045296,-27.47535698,"6,960,912.00","MERTHYR PK FITNESS TRAIL","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","MERTHYR PARK",null,"504,803.91","30,389","Sit up Bench","123,589",6666,"D0080",153.0486247,-27.47425715,"6,961,033.70","MERTHYR PK FITNESS TRAIL","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","MERTHYR PARK",null,"504,557.81","30,389","Climbing (commando) net","123,601",6667,"D0080",153.0461342,-27.47527392,"6,960,921.17","MERTHYR PK FITNESS TRAIL","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","MERTHYR PARK",null,"504,302.63","30,389","parallel bars","123,618",6668,"D0080",153.0435512,-27.47518402,"6,960,931.22","MERTHYR PK FITNESS TRAIL","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","MERTHYR PARK",null,"504,478.19","30,389","chin up combo","123,606",6669,"D0080",153.0453283,-27.4753613,"6,960,911.52","MERTHYR PK FITNESS TRAIL","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","MERTHYR PARK",null,"504,707.24","30,389","Monkey bar","123,593",6670,"D0080",153.0476465,-27.47477488,"6,960,976.39","MERTHYR PK FITNESS TRAIL","FITNESS EXERCISE EQUIPMENT"
"SPORTING NODE","MERTHYR PARK",null,"504,842.31","24,524","Bowling green","126,442",6681,"D0080",153.0490131,-27.47358921,"6,961,107.67","MERTHYR BOWLS CLUB","LAWN BOWLS/CROQUET GREEN"
"SPORTING NODE","MERTHYR PARK",null,"504,871.96","24,524","Merthyr Bowls club","126,531",6754,"D0080",153.0493132,-27.4734907,"6,961,118.57","MERTHYR BOWLS CLUB","SPORTING CLUBHOUSE"
"SPORTING NODE","VICTORIA PARK",null,"502,282.42","15,419","Long Jump Pit","40,588",6991,"D0083",153.0230981,-27.45348678,"6,963,335.09","ST JOSEPHS COLLEGE TENNIS COURTS","ATHLETIC FACILITY"
"BALANCE OF PARK","VICTORIA PARK",null,"502,541.49","15,426","Cora - Bikerack","40,478",7037,"D0083",153.0257203,-27.45528714,"6,963,135.62","BALANCE OF PARK","BIKE RACK"
"RECREATION ACCESS","VICTORIA PARK",null,"502,272.00","23,025","Gilchrest Ave shared pathway","40,558",7038,"D0083",153.0229925,-27.45250356,"6,963,444.00","VICTORIA PK (GILCHRIST AVE) SHARED PATHWAY NETWORK","BIKEWAY"
"BALANCE OF PARK","VICTORIA PARK",null,"502,227.25","15,426",null,"181,302",7039,"D0083",153.02254,-27.45435501,"6,963,238.93","BALANCE OF PARK","BIKEWAY"
"BALANCE OF PARK","VICTORIA PARK",null,"502,209.02","15,426",null,"181,301",7040,"D0083",153.0223555,-27.45432353,"6,963,242.42","BALANCE OF PARK","BIKEWAY"
"RECREATION ACCESS","VICTORIA PARK",null,"502,256.35","24,470","Shared pathway","40,476",7041,"D0083",153.022835,-27.45698491,"6,962,947.62","VICTORIA PK (GREGORY TCE) SHARED PATHWAY NETWORK","BIKEWAY"
"RECREATION ACCESS","VICTORIA PARK",null,"502,431.95","24,470","Shared pathway","40,475",7042,"D0083",153.0246116,-27.45450606,"6,963,222.16","VICTORIA PK (GREGORY TCE) SHARED PATHWAY NETWORK","BIKEWAY"
"RECREATION ACCESS","VICTORIA PARK",null,"502,258.82","23,025","Shared pathway","36,473",7043,"D0083",153.0228597,-27.45550377,"6,963,111.68","VICTORIA PK (GILCHRIST AVE) SHARED PATHWAY NETWORK","BIKEWAY"
"RECREATION ACCESS","VICTORIA PARK",null,"502,324.00","24,470","Shared pathway on bridge","1,346",7044,"D0083",153.0235193,-27.4553473,"6,963,129.00","VICTORIA PK (GREGORY TCE) SHARED PATHWAY NETWORK","BIKEWAY"
"RECREATION ACCESS","VICTORIA PARK",null,"502,349.83","24,470","Shared pathway","36,474",7045,"D0083",153.0237811,-27.45720097,"6,962,923.67","VICTORIA PK (GREGORY TCE) SHARED PATHWAY NETWORK","BIKEWAY"
"RECREATION ACCESS","VICTORIA PARK",null,"502,397.70","24,470","Shared pathway","1,348",7046,"D0083",153.0242652,-27.45543817,"6,963,118.92","VICTORIA PK (GREGORY TCE) SHARED PATHWAY NETWORK","BIKEWAY"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,545.97","15,420","ring","109,577",7113,"D0083",153.0257654,-27.45425631,"6,963,249.80","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,560.33","15,420","bridge","109,579",7114,"D0083",153.0259107,-27.45415418,"6,963,261.11","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,562.90","15,420","platform","109,580",7115,"D0083",153.0259367,-27.45407157,"6,963,270.26","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,549.80","15,420","jumping bar","109,578",7116,"D0083",153.0258042,-27.45417659,"6,963,258.63","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,548.35","15,420","bridge","109,581",7117,"D0083",153.0257895,-27.45410013,"6,963,267.10","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,549.47","15,420","jumping bar","109,583",7118,"D0083",153.0258008,-27.45407873,"6,963,269.47","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,559.41","15,420","bollards set","109,585",7119,"D0083",153.0259014,-27.45404476,"6,963,273.23","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,553.68","15,420","tunnel","109,584",7120,"D0083",153.0258434,-27.45403412,"6,963,274.41","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","VICTORIA PARK",null,"502,547.42","15,420","jumping bar","109,582",7121,"D0083",153.0257801,-27.45412035,"6,963,264.86","GREGORY TCE DOG OFF LEASH AREA (SPRING HILL)","DOG EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK",null,"502,120.92","15,431","leg exercise","109,412",7221,"D0083",153.0214647,-27.45842807,"6,962,787.79","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK",null,"502,366.46","15,431","Spring Up Bar","40,571",7222,"D0083",153.0239492,-27.45607578,"6,963,048.30","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK",null,"502,359.47","15,431","Man O War - Leg Stretch Set","40,573",7223,"D0083",153.0238784,-27.45606415,"6,963,049.59","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK","PE004395","502,217.20","15,431","Man O War - Combination Fitness","40,576",7224,"D0083",153.022439,-27.45819771,"6,962,813.29","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK","PE004397","502,169.78","15,431","Man O War - Chin Bar","40,575",7225,"D0083",153.0219592,-27.4583351,"6,962,798.08","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK","ID PE004398","502,087.38","15,431","Man O War - Sit Up Bench","40,574",7226,"D0083",153.0211253,-27.45850206,"6,962,779.60","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK",null,"502,312.39","15,431","Man O War - Body Dips","40,572",7227,"D0083",153.0234021,-27.45673492,"6,962,975.30","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK","PE004392","502,191.85","15,431","Sit up","40,570",7228,"D0083",153.0221824,-27.45756949,"6,962,882.88","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK",null,"502,447.93","15,431","Balance Beam","33,035",7229,"D0083",153.0247733,-27.45456634,"6,963,215.48","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK","PE004393","502,118.70","15,431","Parallel Bar","40,567",7230,"D0083",153.0214422,-27.45812636,"6,962,821.21","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK","PE004391","502,196.06","15,431","Pull Up","40,569",7231,"D0083",153.022225,-27.45755531,"6,962,884.45","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK","PE004394","502,115.43","15,431","Stepped Post","40,568",7232,"D0083",153.0214091,-27.45813413,"6,962,820.35","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"RECREATION NODE","VICTORIA PARK",null,"502,361.58","15,431","squat bar","109,528",7233,"D0083",153.0238998,-27.45603796,"6,963,052.49","GREGORY TCE FITNESS TRAIL (SPRING HILL)","FITNESS EXERCISE EQUIPMENT"
"SPORTING NODE","VICTORIA PARK",null,"502,169.03","15,423",null,"109,956",7238,"D0083",153.0219505,-27.45286918,"6,963,403.52","VICTORIA PK GOLF COURSE","GOLF COURSE"
"SPORTING NODE","VICTORIA PARK","PRO-SHOP / DRIVING RANGE","501,872.99","15,423","Driving Range, Pro-Shop & Golf Course","40,585",7239,"D0083",153.018954,-27.44964843,"6,963,760.32","VICTORIA PK GOLF COURSE","GOLF COURSE"
"SPORTING NODE","VICTORIA PARK",null,"502,009.36","15,423","Golf driving range","109,939",7252,"D0083",153.0203343,-27.45105913,"6,963,604.04","VICTORIA PK GOLF COURSE","INDOOR SPORTS CENTRE"
"SPORTING NODE","VICTORIA PARK",null,"502,298.00","15,424","Cricket Training","54,033",7594,"D0083",153.0232558,-27.45374035,"6,963,307.00","GILCHRIST AVE CRICKET & SOCCER FACILITY","PRACTICE CRICKET NET"
"SPORTING NODE","VICTORIA PARK",null,"502,095.96","15,417","professional hoop","109,333",7725,"D0083",153.021212,-27.45787479,"6,962,849.08","BRISBANE GIRLS GRAMMAR SPORT PRECINCT","SPORT FACILITY COMPONENT"
"SPORTING NODE","VICTORIA PARK",null,"502,031.03","15,417","professional hoop","109,339",7726,"D0083",153.0205549,-27.45810248,"6,962,823.87","BRISBANE GIRLS GRAMMAR SPORT PRECINCT","SPORT FACILITY COMPONENT"
"SPORTING NODE","VICTORIA PARK",null,"502,451.98","15,424","soccer goal","109,880",7727,"D0083",153.0248137,-27.45165633,"6,963,537.81","GILCHRIST AVE CRICKET & SOCCER FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","VICTORIA PARK",null,"502,383.41","15,424","soccer goal","109,879",7728,"D0083",153.0241199,-27.45224941,"6,963,472.13","GILCHRIST AVE CRICKET & SOCCER FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","VICTORIA PARK",null,"502,322.11","15,424","soccer goal","109,878",7729,"D0083",153.0234997,-27.45313056,"6,963,374.54","GILCHRIST AVE CRICKET & SOCCER FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","VICTORIA PARK",null,"502,371.04","15,424","soccer goal","109,877",7730,"D0083",153.0239947,-27.45241185,"6,963,454.14","GILCHRIST AVE CRICKET & SOCCER FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","VICTORIA PARK",null,"502,305.73","15,423","sand buckets","109,872",7731,"D0083",153.0233335,-27.45103546,"6,963,606.61","VICTORIA PK GOLF COURSE","SPORT FACILITY COMPONENT"
"SPORTING NODE","VICTORIA PARK",null,"502,305.25","15,423","sand container","109,871",7732,"D0083",153.0233286,-27.45103907,"6,963,606.21","VICTORIA PK GOLF COURSE","SPORT FACILITY COMPONENT"
"SPORTING NODE","VICTORIA PARK",null,"502,043.55","15,423","sand buckets","109,758",7733,"D0083",153.0206803,-27.4510895,"6,963,600.67","VICTORIA PK GOLF COURSE","SPORT FACILITY COMPONENT"
